IndependentA,IndependentB,IndependentC,IndependentD,ControlA,ControlB,ControlC,Dependentvariable
1.353703,0.304821,0.068456,525.734942,198.2640076,3027.400024,967,1.224744871
1.291397,0.916032,0.068415,1232.044814,25721.80078,3109.644165,933.333333,9.458329662
1.137006,0.02314,0.065434,720.950558,25721.80078,343.057343,729.591837,8.625543461
0.58648,0.909135,0.057975,135.02294,757.7150269,14779.33691,14143.43434,3.605551275
0.069891,0.655068,0.02283,742.666373,81933.70313,22596.45508,666.019417,2.969848481
0.039323,0.029366,0.023223,596.734361,160.5099945,30620.09766,883,2.672077843
0.423835,0.204027,0.079914,816.834327,318.5350037,16235.35962,9662.626263,3.163858404
0.398763,1.161044,0.074951,890.165256,54.6912994,15127.56885,7939.393939,30.43994087
0.125592,1.330721,0.018629,1000.081655,90.1423035,23556.80908,8888.77551,10.78540681
0.095995,1.950182,0.020325,21.458717,81933.70313,10096.76971,11247.47475,3.823610859
0.258043,0.114821,0.108897,283.45201,623.6900024,11750.35547,2640.40404,15.03329638
0.153743,2.604198,0.011061,887.245313,90492.29688,18259.94336,23559.79381,30.22995203
0.155852,0.811388,0.012915,652.646582,428.8500061,20884.45703,22872.72727,9.2757749
0.138909,0.240477,0.015152,920.077305,11504.7002,15372.68164,12419.19192,7.409453421
0.105937,0.449835,0.016589,819.14316,389.2510071,29496.27148,3800,16.16415788
0.065992,0.054518,0.016803,242.333594,1365.48999,30308.60156,5576.530612,9.099450533
0.112075,0.606006,0.07494,1021.840993,43908.89844,31082.12695,29085.43689,6.704476117
0.124901,0.137589,0.074776,1764.700224,73674.79688,31369.46387,6265.625,12.1449578
0.150181,0.449734,0.007964,100.995364,90612,24193.82764,21828.43137,11.6447413
0.152344,0.348778,0.00938,206.311083,87614.5,21146.97754,15108,16.66193266
0.135369,0.01759,0.011127,639.940923,1456.130005,18096.29211,3588.888889,9.502631215
0.140976,1.527362,0.070803,825.655374,92538.89844,42064.27344,18592,10.55817219
0.188432,3.560657,0.077505,456.246257,99805.79688,28262.49512,37027.83505,13.84503521
0.248205,1.71443,0.080745,928.707133,97.6613998,33946.89258,42458,17.29335132
0.126112,0.02981,0.005932,447.972583,1727.670044,23113.29688,14733.67347,12.25724276
0.247843,6.179654,0.071715,299.181335,310.3659973,25648.22852,18245.09804,7.71362431
0.312282,3.997726,0.078591,417.409965,101408,36143.24805,36289.10891,20.57425576
